***** rtt program started *****
HOST(IPv6): ::1                                     	RTT(1) = 0.070 ms	RTT(2) = 0.088 ms	RTT(3) = 0.095 ms	
HOST(IPv4): 5.62.60.212                             	RTT(1) = 138.177 ms	RTT(2) = 138.171 ms	RTT(3) = 138.164 ms	

HOST(IPv4): 5.62.63.128                             	RTT(1) = 137.797 ms	RTT(2) = 137.793 ms	RTT(3) = 137.789 ms	

HOST(IPv4): 5.62.62.224                             	RTT(1) = 138.186 ms	RTT(2) = 138.181 ms	RTT(3) = 138.175 ms	

HOST(IPv4): 5.62.61.184                             	RTT(1) = 138.191 ms	RTT(2) = 138.185 ms	RTT(3) = 137.420 ms	

HOST(IPv4): 5.62.56.220                             	RTT(1) = 137.776 ms	RTT(2) = 137.772 ms	RTT(3) = 137.766 ms	

HOST(IPv4): 5.62.58.188                             	RTT(1) = 137.812 ms	RTT(2) = 137.808 ms	RTT(3) = 137.804 ms	

HOST(IPv4): 5.62.62.212                             	RTT(1) = 138.197 ms	RTT(2) = 138.192 ms	RTT(3) = 138.188 ms	

HOST(IPv4): 5.62.56.216                             	RTT(1) = 138.203 ms	RTT(2) = 138.194 ms	RTT(3) = 138.161 ms	

HOST(IPv4): 5.62.63.104                             	RTT(1) = 137.815 ms	RTT(2) = 137.810 ms	RTT(3) = 137.805 ms	

HOST(IPv4): 92.38.180.63                            	RTT(1) = 138.202 ms	RTT(2) = 138.196 ms	RTT(3) = 137.466 ms	

HOST(IPv4): 5.62.62.208                             	RTT(1) = 137.756 ms	RTT(2) = 137.751 ms	RTT(3) = 137.730 ms	

HOST(IPv4): 5.62.63.96                              	RTT(1) = 137.816 ms	RTT(2) = 137.810 ms	RTT(3) = 137.805 ms	

HOST(IPv4): 5.62.56.204                             	RTT(1) = 137.785 ms	RTT(2) = 137.781 ms	RTT(3) = 137.775 ms	

HOST(IPv4): 5.62.58.172                             	RTT(1) = 137.803 ms	RTT(2) = 137.798 ms	RTT(3) = 137.794 ms	

HOST(IPv4): 185.246.208.130                         	RTT(1) = 137.825 ms	RTT(2) = 137.821 ms	RTT(3) = 137.816 ms	

HOST(IPv4): 5.62.56.232                             	RTT(1) = 137.758 ms	RTT(2) = 137.752 ms	RTT(3) = 137.466 ms	

HOST(IPv4): 5.62.63.92                              	RTT(1) = 137.831 ms	RTT(2) = 137.827 ms	RTT(3) = 137.822 ms	

